,0_deg,60_deg,90_deg,180_deg,240_deg,labels
0,0.5455720553685133,0.15856297707702977,0.12237524043864201,0.43961706276494367,0.3056321989984728,R
1,0.6733745242486474,0.46688943332708466,0.8086440784765931,0.8621354325292439,0.4623801640286576,M
2,0.5772353626531131,0.5275891088168305,0.7795228112004489,0.5611466087455164,0.5152559076800544,M
3,0.09529630591399972,0.24158411497202514,0.46087571657838083,0.5281147537502197,0.270373020905498,R
4,0.680276392977095,0.5041436282095737,0.6351592407853334,0.5399239158010091,0.5651310702908023,M
5,0.7773745630423601,0.689981026439109,0.608654951476458,0.6967946304136066,0.8351931137949707,M
6,0.007238813393172869,0.25710490753839377,0.5550731893482445,0.06418197720354935,0.01800268969364172,R
7,0.5045204086615029,0.11974942931779907,0.3664035043851367,0.09276763622845331,0.3303850657837554,R
8,0.6077764771191732,0.8581278943043197,0.6463248257165456,0.9056903382119962,0.5786352827324596,M
9,0.9055209325957847,0.7555287219951793,0.6603663962395462,0.5390508465239394,0.48130352786790276,M
10,0.3636728225751747,0.3006352637866073,0.5103869278408736,0.4591463618540905,0.3964484334396838,R
11,0.5525171190177459,0.5237494576713958,0.44890160412509283,0.8839368478961049,0.9504289783682398,M
12,0.42018733060601116,0.8591809097823113,0.9399865013830444,0.6734682654725983,0.807032522572306,M
13,0.5329799618799695,0.9520045641412931,0.8009532172007396,0.8797478450709572,0.6234971363567754,M
14,0.09315008217715826,0.015274779334269491,0.30675362956729,0.3669065470770617,0.31565768970188324,R
15,0.36307522759520744,0.23986950718212188,0.02543101364017446,0.04705870289663799,0.5366408286128677,R
16,0.014303587351945046,0.3540990588647933,0.12635229210198243,0.406629083955419,0.32347055074608944,R
17,0.9285212377321279,0.9911070422925929,0.46883879316055904,0.7866275160120748,0.831443823076931,M
18,0.9260388303306486,0.43038185979103416,0.5740163796880977,0.820689380518309,0.5578141645964062,M
19,0.2425489343729723,0.38759682498747716,0.0026111015272884505,0.2240798178823,0.22234087566536923,R
20,0.46806893039020675,0.22000306447000423,0.12885820855654873,0.15309326351296182,0.29589911007320147,R
21,0.6838469405688691,0.5971746875167993,0.5546647278307534,0.8408378333591563,0.7173171427017367,M
22,0.06694083472992597,0.2603941248072094,0.5559681536646838,0.29908558109569666,0.43875874603936016,R
23,0.003315590894589394,0.4851477144539028,0.08644266462098929,0.20064718563529252,0.28389694463140397,R
24,0.18498054450685317,0.011418555949220784,0.19806314585796775,0.05001028824653349,0.5571529907396048,R
25,0.04312237907729686,0.308812712324491,0.5661421443369503,0.4529232269577063,0.32564803173848317,R
26,0.25343344407527285,0.5209737888464678,0.5637694540898477,0.4119612491362222,0.2129572790314495,R
27,0.019606215557155256,0.2729806375805036,0.5202699587232346,0.39788928982924526,0.17256617390956935,R
28,0.7145992716667267,0.5187120763312519,0.5359907569219815,0.7562264934575746,0.8738897686412355,M
29,0.404490201239849,0.08256638343240709,0.5233805039887505,0.47743552555929153,0.12020344412515571,R
30,0.9338878620901188,0.6784824569404486,0.7640443352711445,0.7959730794003158,0.7118268217463681,M
31,0.6127450090426177,0.9585351712688424,0.935607904312977,0.8412593789343494,0.7678536709594767,M
32,0.4803189369646381,0.8168881112001452,0.5678053875385348,0.6996487441343242,0.549729415549317,M
33,0.26869423974192835,0.21836166204309926,0.5523944651310547,0.46189373942404177,0.18264395570673989,R
34,0.04172348715924169,0.29932947337337185,0.20988069793392494,0.43881783843464744,0.5264301854038728,R
35,0.32288535902674836,0.03983885942529834,0.14155468638043367,0.2650836821179277,0.35888974931955797,R
36,0.5740029581756262,0.9739448440805378,0.8508091463058023,0.7701306012612302,0.7061364368276908,M
37,0.48232119422198405,0.7508132143630714,0.8681183604881593,0.9119179951937066,0.8477499871036938,M
38,0.8575520415481563,0.5867939536541182,0.8962927341860951,0.4535393908890697,0.9687225765926264,M
39,0.49147807761057416,0.574108653188153,0.7603849856676526,0.7042428757891228,0.7976176130578001,M
40,0.7697699285222386,0.525665801466299,0.5463906810447462,0.666588630408233,0.708910900439763,M
41,0.2976346658925826,0.3259520195149548,0.5623328114146874,0.28665543197390464,0.07484454558007705,R
42,0.9233135187270267,0.9620882398798896,0.7038668640849988,0.45455659666425474,0.47951546873202566,M
43,0.8535374442772223,0.45120926288456825,0.8352434547938706,0.8401264769957673,0.5190622654102846,M
44,0.9983807909105469,0.5902632145478264,0.9770295182052411,0.4930998105919908,0.9763795528257526,M
45,0.42608680867031057,0.812430210975573,0.6602118015007729,0.7011943838378967,0.5183159124881822,M
46,0.6455798818141751,0.4972449405142475,0.49150853578459763,0.9901634085663635,0.9147229817320848,M
47,0.48996431452543776,0.5511555448903924,0.24496335175189704,0.3632871735375925,0.5255430341726416,R
48,0.06893935503711146,0.16545414519423907,0.3554360182428117,0.36903625847244315,0.09264339210827495,R
49,0.2706418759673691,0.45431532877612246,0.353760441614109,0.5378837454217315,0.08964877654783063,R
50,0.737497843679273,0.6696791388615853,0.4728313828153931,0.9587173794543271,0.7966446535886769,M
51,0.7241257405854292,0.5158850311005168,0.6051259923027118,0.4208411766791823,0.7725759306235498,M
52,0.5152972699125141,0.9872487689986529,0.9158209083223219,0.7770183505942405,0.9497138153359164,M
53,0.3586801316288893,0.11856129769691218,0.4985645127162239,0.5448190362968358,0.17915885169671103,R
54,0.9668924858890668,0.4837479195024913,0.891412224607127,0.8058831572315042,0.7492979472008081,M
55,0.5369960366826707,0.7992461868947247,0.9356270487767631,0.42023046582766554,0.8228341535973583,M
56,0.06999709244817509,0.3056402837952434,0.024915107278799423,0.11032026934821336,0.04660987147536828,R
